codigo_dimension,nombre_dimensión,edad_desde,edad_hasta,sexo,puntuación_directa_desde,puntuación_directa_hasta,percentil,nivel_dimensión
E,EXTRAVERSION,1,99,H,156,192,99,MA
E,EXTRAVERSION,1,99,H,151,155,98,MA
E,EXTRAVERSION,1,99,H,148,150,97,MA
E,EXTRAVERSION,1,99,H,145,147,96,MA
E,EXTRAVERSION,1,99,H,141,144,95,MA
E,EXTRAVERSION,1,99,H,136,140,90,MA
E,EXTRAVERSION,1,99,H,133,135,85,MA
E,EXTRAVERSION,1,99,H,130,132,80,A
E,EXTRAVERSION,1,99,H,127,129,75,A
E,EXTRAVERSION,1,99,H,124,126,70,A
E,EXTRAVERSION,1,99,H,122,123,65,A
E,EXTRAVERSION,1,99,H,120,121,60,M
E,EXTRAVERSION,1,99,H,118,119,55,M
E,EXTRAVERSION,1,99,H,115,117,50,M
E,EXTRAVERSION,1,99,H,113,114,45,M
E,EXTRAVERSION,1,99,H,111,112,40,M
E,EXTRAVERSION,1,99,H,108,110,35,B
E,EXTRAVERSION,1,99,H,106,107,30,B
E,EXTRAVERSION,1,99,H,104,105,25,B
E,EXTRAVERSION,1,99,H,101,103,20,MB
E,EXTRAVERSION,1,99,H,98,100,15,MB
E,EXTRAVERSION,1,99,H,92,97,10,MB
E,EXTRAVERSION,1,99,H,87,91,5,MB
E,EXTRAVERSION,1,99,H,84,86,4,MB
E,EXTRAVERSION,1,99,H,80,83,3,MB
E,EXTRAVERSION,1,99,H,75,79,2,MB
E,EXTRAVERSION,1,99,H,0,74,1,MB
E,EXTRAVERSION,1,99,M,154,192,99,MA
E,EXTRAVERSION,1,99,M,151,153,98,MA
E,EXTRAVERSION,1,99,M,149,150,97,MA
E,EXTRAVERSION,1,99,M,148,148,96,MA
E,EXTRAVERSION,1,99,M,143,147,95,MA
E,EXTRAVERSION,1,99,M,138,142,90,MA
E,EXTRAVERSION,1,99,M,134,137,85,MA
E,EXTRAVERSION,1,99,M,131,133,80,A
E,EXTRAVERSION,1,99,M,129,130,75,A
E,EXTRAVERSION,1,99,M,127,128,70,A
E,EXTRAVERSION,1,99,M,124,126,65,A
E,EXTRAVERSION,1,99,M,123,123,60,M
E,EXTRAVERSION,1,99,M,121,122,55,M
E,EXTRAVERSION,1,99,M,119,120,50,M
E,EXTRAVERSION,1,99,M,117,118,45,M
E,EXTRAVERSION,1,99,M,116,116,40,M
E,EXTRAVERSION,1,99,M,114,115,35,B
E,EXTRAVERSION,1,99,M,111,113,30,B
E,EXTRAVERSION,1,99,M,109,110,25,B
E,EXTRAVERSION,1,99,M,106,108,20,MB
E,EXTRAVERSION,1,99,M,102,105,15,MB
E,EXTRAVERSION,1,99,M,97,101,10,MB
E,EXTRAVERSION,1,99,M,92,96,5,MB
E,EXTRAVERSION,1,99,M,90,91,4,MB
E,EXTRAVERSION,1,99,M,87,89,3,MB
E,EXTRAVERSION,1,99,M,85,86,2,MB
E,EXTRAVERSION,1,99,M,0,84,1,MB
RE,REACTIVIDAD EMOCIONAL,1,99,H,116,192,99,MA
RE,REACTIVIDAD EMOCIONAL,1,99,H,107,115,98,MA
RE,REACTIVIDAD EMOCIONAL,1,99,H,104,106,97,MA
RE,REACTIVIDAD EMOCIONAL,1,99,H,101,103,96,MA
RE,REACTIVIDAD EMOCIONAL,1,99,H,95,100,95,MA
RE,REACTIVIDAD EMOCIONAL,1,99,H,89,94,90,MA
RE,REACTIVIDAD EMOCIONAL,1,99,H,84,88,85,MA
RE,REACTIVIDAD EMOCIONAL,1,99,H,80,83,80,A
RE,REACTIVIDAD EMOCIONAL,1,99,H,77,79,75,A
RE,REACTIVIDAD EMOCIONAL,1,99,H,74,76,70,A
RE,REACTIVIDAD EMOCIONAL,1,99,H,72,73,65,A
RE,REACTIVIDAD EMOCIONAL,1,99,H,70,71,60,M
RE,REACTIVIDAD EMOCIONAL,1,99,H,67,69,55,M
RE,REACTIVIDAD EMOCIONAL,1,99,H,65,66,50,M
RE,REACTIVIDAD EMOCIONAL,1,99,H,63,64,45,M
RE,REACTIVIDAD EMOCIONAL,1,99,H,61,62,40,M
RE,REACTIVIDAD EMOCIONAL,1,99,H,59,60,35,B
RE,REACTIVIDAD EMOCIONAL,1,99,H,56,58,30,B
RE,REACTIVIDAD EMOCIONAL,1,99,H,53,55,25,B
RE,REACTIVIDAD EMOCIONAL,1,99,H,51,55,20,MB
RE,REACTIVIDAD EMOCIONAL,1,99,H,46,50,15,MB
RE,REACTIVIDAD EMOCIONAL,1,99,H,40,45,10,MB
RE,REACTIVIDAD EMOCIONAL,1,99,H,35,39,5,MB
RE,REACTIVIDAD EMOCIONAL,1,99,H,33,34,4,MB
RE,REACTIVIDAD EMOCIONAL,1,99,H,29,32,3,MB
RE,REACTIVIDAD EMOCIONAL,1,99,H,26,28,2,MB
RE,REACTIVIDAD EMOCIONAL,1,99,H,0,25,1,MB
RE,REACTIVIDAD EMOCIONAL,1,99,M,120,192,99,MA
RE,REACTIVIDAD EMOCIONAL,1,99,M,116,119,98,MA
RE,REACTIVIDAD EMOCIONAL,1,99,M,111,115,97,MA
RE,REACTIVIDAD EMOCIONAL,1,99,M,109,110,96,MA
RE,REACTIVIDAD EMOCIONAL,1,99,M,102,108,95,MA
RE,REACTIVIDAD EMOCIONAL,1,99,M,95,101,90,MA
RE,REACTIVIDAD EMOCIONAL,1,99,M,89,94,85,MA
RE,REACTIVIDAD EMOCIONAL,1,99,M,85,88,80,A
RE,REACTIVIDAD EMOCIONAL,1,99,M,81,84,75,A
RE,REACTIVIDAD EMOCIONAL,1,99,M,79,80,70,A
RE,REACTIVIDAD EMOCIONAL,1,99,M,77,78,65,A
RE,REACTIVIDAD EMOCIONAL,1,99,M,74,76,60,M
RE,REACTIVIDAD EMOCIONAL,1,99,M,72,73,55,M
RE,REACTIVIDAD EMOCIONAL,1,99,M,71,71,50,M
RE,REACTIVIDAD EMOCIONAL,1,99,M,68,70,45,M
RE,REACTIVIDAD EMOCIONAL,1,99,M,66,67,40,M
RE,REACTIVIDAD EMOCIONAL,1,99,M,64,65,35,B
RE,REACTIVIDAD EMOCIONAL,1,99,M,61,63,30,B
RE,REACTIVIDAD EMOCIONAL,1,99,M,58,60,25,B
RE,REACTIVIDAD EMOCIONAL,1,99,M,55,57,20,MB
RE,REACTIVIDAD EMOCIONAL,1,99,M,51,54,15,MB
RE,REACTIVIDAD EMOCIONAL,1,99,M,46,50,10,MB
RE,REACTIVIDAD EMOCIONAL,1,99,M,41,45,5,MB
RE,REACTIVIDAD EMOCIONAL,1,99,M,38,40,4,MB
RE,REACTIVIDAD EMOCIONAL,1,99,M,35,37,3,MB
RE,REACTIVIDAD EMOCIONAL,1,99,M,31,34,2,MB
RE,REACTIVIDAD EMOCIONAL,1,99,M,0,30,1,MB
AM,APERTURA MENTAL,1,99,H,155,192,99,MA
AM,APERTURA MENTAL,1,99,H,151,154,98,MA
AM,APERTURA MENTAL,1,99,H,148,150,97,MA
AM,APERTURA MENTAL,1,99,H,146,147,96,MA
AM,APERTURA MENTAL,1,99,H,140,145,95,MA
AM,APERTURA MENTAL,1,99,H,135,139,90,MA
AM,APERTURA MENTAL,1,99,H,131,134,85,MA
AM,APERTURA MENTAL,1,99,H,128,130,80,A
AM,APERTURA MENTAL,1,99,H,125,127,75,A
AM,APERTURA MENTAL,1,99,H,123,124,70,A
AM,APERTURA MENTAL,1,99,H,121,122,65,A
AM,APERTURA MENTAL,1,99,H,119,120,60,M
AM,APERTURA MENTAL,1,99,H,117,118,55,M
AM,APERTURA MENTAL,1,99,H,115,116,50,M
AM,APERTURA MENTAL,1,99,H,113,114,45,M
AM,APERTURA MENTAL,1,99,H,111,112,40,M
AM,APERTURA MENTAL,1,99,H,109,110,35,B
AM,APERTURA MENTAL,1,99,H,106,108,30,B
AM,APERTURA MENTAL,1,99,H,104,105,25,B
AM,APERTURA MENTAL,1,99,H,101,103,20,MB
AM,APERTURA MENTAL,1,99,H,97,100,15,MB
AM,APERTURA MENTAL,1,99,H,92,96,10,MB
AM,APERTURA MENTAL,1,99,H,87,91,5,MB
AM,APERTURA MENTAL,1,99,H,84,86,4,MB
AM,APERTURA MENTAL,1,99,H,82,83,3,MB
AM,APERTURA MENTAL,1,99,H,76,81,2,MB
AM,APERTURA MENTAL,1,99,H,0,75,1,MB
AM,APERTURA MENTAL,1,99,M,154,192,99,MA
AM,APERTURA MENTAL,1,99,M,151,153,98,MA
AM,APERTURA MENTAL,1,99,M,149,150,97,MA
AM,APERTURA MENTAL,1,99,M,146,148,96,MA
AM,APERTURA MENTAL,1,99,M,141,145,95,MA
AM,APERTURA MENTAL,1,99,M,137,140,90,MA
AM,APERTURA MENTAL,1,99,M,133,136,85,MA
AM,APERTURA MENTAL,1,99,M,130,132,80,A
AM,APERTURA MENTAL,1,99,M,128,129,75,A
AM,APERTURA MENTAL,1,99,M,127,127,70,A
AM,APERTURA MENTAL,1,99,M,125,126,65,A
AM,APERTURA MENTAL,1,99,M,123,124,60,M
AM,APERTURA MENTAL,1,99,M,121,122,55,M
AM,APERTURA MENTAL,1,99,M,118,120,50,M
AM,APERTURA MENTAL,1,99,M,116,117,45,M
AM,APERTURA MENTAL,1,99,M,115,115,40,M
AM,APERTURA MENTAL,1,99,M,113,114,35,B
AM,APERTURA MENTAL,1,99,M,110,112,30,B
AM,APERTURA MENTAL,1,99,M,107,109,25,B
AM,APERTURA MENTAL,1,99,M,105,106,20,MB
AM,APERTURA MENTAL,1,99,M,101,104,15,MB
AM,APERTURA MENTAL,1,99,M,97,100,10,MB
AM,APERTURA MENTAL,1,99,M,92,96,5,MB
AM,APERTURA MENTAL,1,99,M,91,91,4,MB
AM,APERTURA MENTAL,1,99,M,90,90,3,MB
AM,APERTURA MENTAL,1,99,M,87,89,2,MB
AM,APERTURA MENTAL,1,99,M,0,86,1,MB
C,CORDIALIDAD,1,99,H,167,192,99,MA
C,CORDIALIDAD,1,99,H,160,166,98,MA
C,CORDIALIDAD,1,99,H,158,159,97,MA
C,CORDIALIDAD,1,99,H,157,157,96,MA
C,CORDIALIDAD,1,99,H,153,156,95,MA
C,CORDIALIDAD,1,99,H,148,152,90,MA
C,CORDIALIDAD,1,99,H,144,147,85,MA
C,CORDIALIDAD,1,99,H,142,143,80,A
C,CORDIALIDAD,1,99,H,140,141,75,A
C,CORDIALIDAD,1,99,H,137,139,70,A
C,CORDIALIDAD,1,99,H,135,136,65,A
C,CORDIALIDAD,1,99,H,134,134,60,M
C,CORDIALIDAD,1,99,H,132,133,55,M
C,CORDIALIDAD,1,99,H,130,131,50,M
C,CORDIALIDAD,1,99,H,128,129,45,M
C,CORDIALIDAD,1,99,H,126,127,40,M
C,CORDIALIDAD,1,99,H,123,125,35,B
C,CORDIALIDAD,1,99,H,121,122,30,B
C,CORDIALIDAD,1,99,H,118,120,25,B
C,CORDIALIDAD,1,99,H,116,117,20,MB
C,CORDIALIDAD,1,99,H,112,115,15,MB
C,CORDIALIDAD,1,99,H,107,111,10,MB
C,CORDIALIDAD,1,99,H,102,106,5,MB
C,CORDIALIDAD,1,99,H,100,101,4,MB
C,CORDIALIDAD,1,99,H,97,99,3,MB
C,CORDIALIDAD,1,99,H,93,96,2,MB
C,CORDIALIDAD,1,99,H,0,92,1,MB
C,CORDIALIDAD,1,99,M,167,192,99,MA
C,CORDIALIDAD,1,99,M,165,166,98,MA
C,CORDIALIDAD,1,99,M,161,164,97,MA
C,CORDIALIDAD,1,99,M,159,160,96,MA
C,CORDIALIDAD,1,99,M,155,158,95,MA
C,CORDIALIDAD,1,99,M,151,154,90,MA
C,CORDIALIDAD,1,99,M,148,150,85,MA
C,CORDIALIDAD,1,99,M,145,147,80,A
C,CORDIALIDAD,1,99,M,143,144,75,A
C,CORDIALIDAD,1,99,M,141,142,70,A
C,CORDIALIDAD,1,99,M,139,140,65,A
C,CORDIALIDAD,1,99,M,137,138,60,M
C,CORDIALIDAD,1,99,M,136,136,55,M
C,CORDIALIDAD,1,99,M,134,135,50,M
C,CORDIALIDAD,1,99,M,132,133,45,M
C,CORDIALIDAD,1,99,M,130,131,40,M
C,CORDIALIDAD,1,99,M,128,129,35,B
C,CORDIALIDAD,1,99,M,126,127,30,B
C,CORDIALIDAD,1,99,M,123,125,25,B
C,CORDIALIDAD,1,99,M,121,122,20,MB
C,CORDIALIDAD,1,99,M,118,120,15,MB
C,CORDIALIDAD,1,99,M,114,117,10,MB
C,CORDIALIDAD,1,99,M,111,113,5,MB
C,CORDIALIDAD,1,99,M,110,110,4,MB
C,CORDIALIDAD,1,99,M,106,109,3,MB
C,CORDIALIDAD,1,99,M,103,105,2,MB
C,CORDIALIDAD,1,99,M,0,102,1,MB
R,RESPONSABILIDAD,1,99,H,180,192,99,MA
R,RESPONSABILIDAD,1,99,H,176,179,98,MA
R,RESPONSABILIDAD,1,99,H,174,175,97,MA
R,RESPONSABILIDAD,1,99,H,172,173,96,MA
R,RESPONSABILIDAD,1,99,H,168,171,95,MA
R,RESPONSABILIDAD,1,99,H,163,167,90,MA
R,RESPONSABILIDAD,1,99,H,159,162,85,MA
R,RESPONSABILIDAD,1,99,H,155,158,80,A
R,RESPONSABILIDAD,1,99,H,151,154,75,A
R,RESPONSABILIDAD,1,99,H,149,150,70,A
R,RESPONSABILIDAD,1,99,H,145,148,65,A
R,RESPONSABILIDAD,1,99,H,143,144,60,M
R,RESPONSABILIDAD,1,99,H,141,142,55,M
R,RESPONSABILIDAD,1,99,H,139,140,50,M
R,RESPONSABILIDAD,1,99,H,137,138,45,M
R,RESPONSABILIDAD,1,99,H,135,136,40,M
R,RESPONSABILIDAD,1,99,H,133,134,35,B
R,RESPONSABILIDAD,1,99,H,130,132,30,B
R,RESPONSABILIDAD,1,99,H,127,129,25,B
R,RESPONSABILIDAD,1,99,H,124,126,20,MB
R,RESPONSABILIDAD,1,99,H,119,123,15,MB
R,RESPONSABILIDAD,1,99,H,115,118,10,MB
R,RESPONSABILIDAD,1,99,H,107,114,5,MB
R,RESPONSABILIDAD,1,99,H,104,106,4,MB
R,RESPONSABILIDAD,1,99,H,98,103,3,MB
R,RESPONSABILIDAD,1,99,H,95,97,2,MB
R,RESPONSABILIDAD,1,99,H,0,94,1,MB
R,RESPONSABILIDAD,1,99,M,176,192,99,MA
R,RESPONSABILIDAD,1,99,M,174,175,98,MA
R,RESPONSABILIDAD,1,99,M,171,173,97,MA
R,RESPONSABILIDAD,1,99,M,169,170,96,MA
R,RESPONSABILIDAD,1,99,M,165,168,95,MA
R,RESPONSABILIDAD,1,99,M,160,164,90,MA
R,RESPONSABILIDAD,1,99,M,157,159,85,MA
R,RESPONSABILIDAD,1,99,M,155,156,80,A
R,RESPONSABILIDAD,1,99,M,152,154,75,A
R,RESPONSABILIDAD,1,99,M,149,151,70,A
R,RESPONSABILIDAD,1,99,M,147,148,65,A
R,RESPONSABILIDAD,1,99,M,145,146,60,M
R,RESPONSABILIDAD,1,99,M,142,144,55,M
R,RESPONSABILIDAD,1,99,M,140,141,50,M
R,RESPONSABILIDAD,1,99,M,138,139,45,M
R,RESPONSABILIDAD,1,99,M,136,137,40,M
R,RESPONSABILIDAD,1,99,M,135,135,35,B
R,RESPONSABILIDAD,1,99,M,133,134,30,B
R,RESPONSABILIDAD,1,99,M,130,132,25,B
R,RESPONSABILIDAD,1,99,M,127,129,20,MB
R,RESPONSABILIDAD,1,99,M,124,126,15,MB
R,RESPONSABILIDAD,1,99,M,117,123,10,MB
R,RESPONSABILIDAD,1,99,M,113,116,5,MB
R,RESPONSABILIDAD,1,99,M,110,112,4,MB
R,RESPONSABILIDAD,1,99,M,105,109,3,MB
R,RESPONSABILIDAD,1,99,M,97,104,2,MB
R,RESPONSABILIDAD,1,99,M,0,96,1,MB
