codigo_faceta,nombre_faceta,edad_desde,edad_hasta,sexo,puntuación_directa_desde,puntuación_directa_hasta,percentil,nivel_faceta
F1AM,Imaginación,1,99,H,0,7,1,MB
F1AM,Imaginación,1,99,H,8,8,2,MB
F1AM,Imaginación,1,99,H,9,9,4,MB
F1AM,Imaginación,1,99,H,10,10,5,MB
F1AM,Imaginación,1,99,H,11,11,10,MB
F1AM,Imaginación,1,99,H,12,12,15,MB
F1AM,Imaginación,1,99,H,13,13,20,MB
F1AM,Imaginación,1,99,H,14,14,25,B
F1AM,Imaginación,1,99,H,15,15,35,B
F1AM,Imaginación,1,99,H,16,16,40,M
F1AM,Imaginación,1,99,H,17,17,50,M
F1AM,Imaginación,1,99,H,18,18,60,M
F1AM,Imaginación,1,99,H,19,19,65,A
F1AM,Imaginación,1,99,H,20,20,70,A
F1AM,Imaginación,1,99,H,21,21,80,A
F1AM,Imaginación,1,99,H,22,23,85,MA
F1AM,Imaginación,1,99,H,24,24,90,MA
F1AM,Imaginación,1,99,H,25,25,95,MA
F1AM,Imaginación,1,99,H,26,27,97,MA
F1AM,Imaginación,1,99,H,28,28,98,MA
F1AM,Imaginación,1,99,H,29,32,99,MA
F1AM,Imaginación,1,99,M,0,8,1,MB
F1AM,Imaginación,1,99,M,9,9,2,MB
F1AM,Imaginación,1,99,M,10,10,5,MB
F1AM,Imaginación,1,99,M,11,11,10,MB
F1AM,Imaginación,1,99,M,12,12,15,MB
F1AM,Imaginación,1,99,M,13,13,20,MB
F1AM,Imaginación,1,99,M,14,14,25,B
F1AM,Imaginación,1,99,M,15,15,30,B
F1AM,Imaginación,1,99,M,16,16,35,B
F1AM,Imaginación,1,99,M,17,17,45,M
F1AM,Imaginación,1,99,M,18,18,50,M
F1AM,Imaginación,1,99,M,19,19,60,M
F1AM,Imaginación,1,99,M,20,20,65,A
F1AM,Imaginación,1,99,M,21,21,70,A
F1AM,Imaginación,1,99,M,22,22,80,A
F1AM,Imaginación,1,99,M,23,23,85,MA
F1AM,Imaginación,1,99,M,24,24,90,MA
F1AM,Imaginación,1,99,M,25,25,95,MA
F1AM,Imaginación,1,99,M,26,26,97,MA
F1AM,Imaginación,1,99,M,27,27,98,MA
F1AM,Imaginación,1,99,M,28,32,99,MA
F1C,Confianza en los demás,1,99,H,0,10,1,MB
F1C,Confianza en los demás,1,99,H,11,12,2,MB
F1C,Confianza en los demás,1,99,H,13,13,3,MB
F1C,Confianza en los demás,1,99,H,14,15,5,MB
F1C,Confianza en los demás,1,99,H,16,17,10,MB
F1C,Confianza en los demás,1,99,H,18,18,15,MB
F1C,Confianza en los demás,1,99,H,19,19,20,MB
F1C,Confianza en los demás,1,99,H,20,20,25,B
F1C,Confianza en los demás,1,99,H,21,21,30,B
F1C,Confianza en los demás,1,99,H,22,22,40,M
F1C,Confianza en los demás,1,99,H,23,23,50,M
F1C,Confianza en los demás,1,99,H,24,24,60,M
F1C,Confianza en los demás,1,99,H,25,25,75,A
F1C,Confianza en los demás,1,99,H,26,26,85,MA
F1C,Confianza en los demás,1,99,H,27,27,90,MA
F1C,Confianza en los demás,1,99,H,28,28,95,MA
F1C,Confianza en los demás,1,99,H,29,29,97,MA
F1C,Confianza en los demás,1,99,H,30,30,98,MA
F1C,Confianza en los demás,1,99,H,31,32,99,MA
F1C,Confianza en los demás,1,99,M,0,12,1,MB
F1C,Confianza en los demás,1,99,M,13,14,3,MB
F1C,Confianza en los demás,1,99,M,15,16,5,MB
F1C,Confianza en los demás,1,99,M,17,18,10,MB
F1C,Confianza en los demás,1,99,M,19,19,15,MB
F1C,Confianza en los demás,1,99,M,20,20,25,B
F1C,Confianza en los demás,1,99,M,21,21,30,B
F1C,Confianza en los demás,1,99,M,22,22,35,B
F1C,Confianza en los demás,1,99,M,23,23,45,M
F1C,Confianza en los demás,1,99,M,24,24,60,M
F1C,Confianza en los demás,1,99,M,25,25,70,A
F1C,Confianza en los demás,1,99,M,26,26,80,A
F1C,Confianza en los demás,1,99,M,27,27,90,MA
F1C,Confianza en los demás,1,99,M,28,28,95,MA
F1C,Confianza en los demás,1,99,M,29,29,97,MA
F1C,Confianza en los demás,1,99,M,30,30,98,MA
F1C,Confianza en los demás,1,99,M,31,32,99,MA
F1E,Capacidad de relación,1,99,H,0,11,1,MB
F1E,Capacidad de relación,1,99,H,12,13,2,MB
F1E,Capacidad de relación,1,99,H,14,14,3,MB
F1E,Capacidad de relación,1,99,H,15,15,4,MB
F1E,Capacidad de relación,1,99,H,16,16,5,MB
F1E,Capacidad de relación,1,99,H,17,18,10,MB
F1E,Capacidad de relación,1,99,H,19,19,15,MB
F1E,Capacidad de relación,1,99,H,20,20,25,B
F1E,Capacidad de relación,1,99,H,21,21,30,B
F1E,Capacidad de relación,1,99,H,22,22,40,M
F1E,Capacidad de relación,1,99,H,23,23,50,M
F1E,Capacidad de relación,1,99,H,24,24,60,M
F1E,Capacidad de relación,1,99,H,25,25,70,A
F1E,Capacidad de relación,1,99,H,26,26,80,A
F1E,Capacidad de relación,1,99,H,27,27,85,MA
F1E,Capacidad de relación,1,99,H,28,28,90,MA
F1E,Capacidad de relación,1,99,H,29,29,95,MA
F1E,Capacidad de relación,1,99,H,30,30,97,MA
F1E,Capacidad de relación,1,99,H,31,32,99,MA
F1E,Capacidad de relación,1,99,M,0,15,1,MB
F1E,Capacidad de relación,1,99,M,16,16,2,MB
F1E,Capacidad de relación,1,99,M,17,17,3,MB
F1E,Capacidad de relación,1,99,M,18,18,5,MB
F1E,Capacidad de relación,1,99,M,19,20,10,MB
F1E,Capacidad de relación,1,99,M,21,21,15,MB
F1E,Capacidad de relación,1,99,M,22,22,25,B
F1E,Capacidad de relación,1,99,M,23,23,35,B
F1E,Capacidad de relación,1,99,M,24,24,50,M
F1E,Capacidad de relación,1,99,M,25,25,60,M
F1E,Capacidad de relación,1,99,M,26,26,70,A
F1E,Capacidad de relación,1,99,M,27,27,80,A
F1E,Capacidad de relación,1,99,M,28,28,85,MA
F1E,Capacidad de relación,1,99,M,29,29,90,MA
F1E,Capacidad de relación,1,99,M,30,30,95,MA
F1E,Capacidad de relación,1,99,M,31,32,99,MA
F1RE,Preocupaciones - Miedos,1,99,H,0,5,1,MB
F1RE,Preocupaciones - Miedos,1,99,H,6,6,2,MB
F1RE,Preocupaciones - Miedos,1,99,H,7,7,3,MB
F1RE,Preocupaciones - Miedos,1,99,H,8,8,4,MB
F1RE,Preocupaciones - Miedos,1,99,H,9,9,5,MB
F1RE,Preocupaciones - Miedos,1,99,H,10,10,10,MB
F1RE,Preocupaciones - Miedos,1,99,H,11,11,15,MB
F1RE,Preocupaciones - Miedos,1,99,H,12,12,25,B
F1RE,Preocupaciones - Miedos,1,99,H,13,13,30,B
F1RE,Preocupaciones - Miedos,1,99,H,14,14,40,M
F1RE,Preocupaciones - Miedos,1,99,H,15,15,50,M
F1RE,Preocupaciones - Miedos,1,99,H,16,16,60,M
F1RE,Preocupaciones - Miedos,1,99,H,17,17,70,A
F1RE,Preocupaciones - Miedos,1,99,H,18,18,80,A
F1RE,Preocupaciones - Miedos,1,99,H,19,19,85,MA
F1RE,Preocupaciones - Miedos,1,99,H,20,20,90,MA
F1RE,Preocupaciones - Miedos,1,99,H,21,22,95,MA
F1RE,Preocupaciones - Miedos,1,99,H,23,24,97,MA
F1RE,Preocupaciones - Miedos,1,99,H,25,25,98,MA
F1RE,Preocupaciones - Miedos,1,99,H,26,32,99,MA
F1RE,Preocupaciones - Miedos,1,99,M,0,7,1,MB
F1RE,Preocupaciones - Miedos,1,99,M,8,8,2,MB
F1RE,Preocupaciones - Miedos,1,99,M,9,9,3,MB
F1RE,Preocupaciones - Miedos,1,99,M,10,10,5,MB
F1RE,Preocupaciones - Miedos,1,99,M,11,12,10,MB
F1RE,Preocupaciones - Miedos,1,99,M,13,13,20,MB
F1RE,Preocupaciones - Miedos,1,99,M,14,14,25,B
F1RE,Preocupaciones - Miedos,1,99,M,15,15,35,B
F1RE,Preocupaciones - Miedos,1,99,M,16,16,45,M
F1RE,Preocupaciones - Miedos,1,99,M,17,17,55,M
F1RE,Preocupaciones - Miedos,1,99,M,18,18,65,A
F1RE,Preocupaciones - Miedos,1,99,M,19,19,75,A
F1RE,Preocupaciones - Miedos,1,99,M,20,20,80,A
F1RE,Preocupaciones - Miedos,1,99,M,21,21,85,MA
F1RE,Preocupaciones - Miedos,1,99,M,22,22,90,MA
F1RE,Preocupaciones - Miedos,1,99,M,23,24,95,MA
F1RE,Preocupaciones - Miedos,1,99,M,25,25,97,MA
F1RE,Preocupaciones - Miedos,1,99,M,26,32,99,MA
F1R,Capacidad,1,99,H,0,14,1,MB
F1R,Capacidad,1,99,H,15,16,3,MB
F1R,Capacidad,1,99,H,17,18,5,MB
F1R,Capacidad,1,99,H,19,19,10,MB
F1R,Capacidad,1,99,H,20,20,15,MB
F1R,Capacidad,1,99,H,21,21,25,B
F1R,Capacidad,1,99,H,22,22,30,B
F1R,Capacidad,1,99,H,23,23,45,M
F1R,Capacidad,1,99,H,24,24,55,M
F1R,Capacidad,1,99,H,25,25,65,A
F1R,Capacidad,1,99,H,26,26,75,A
F1R,Capacidad,1,99,H,27,27,85,MA
F1R,Capacidad,1,99,H,28,28,90,MA
F1R,Capacidad,1,99,H,29,29,95,MA
F1R,Capacidad,1,99,H,30,30,97,MA
F1R,Capacidad,1,99,H,31,32,99,MA
F1R,Capacidad,1,99,M,0,14,1,MB
F1R,Capacidad,1,99,M,15,16,3,MB
F1R,Capacidad,1,99,M,17,18,5,MB
F1R,Capacidad,1,99,M,19,19,10,MB
F1R,Capacidad,1,99,M,20,20,15,MB
F1R,Capacidad,1,99,M,21,21,25,B
F1R,Capacidad,1,99,M,22,22,30,B
F1R,Capacidad,1,99,M,23,23,45,M
F1R,Capacidad,1,99,M,24,24,55,M
F1R,Capacidad,1,99,M,25,25,65,A
F1R,Capacidad,1,99,M,26,26,75,A
F1R,Capacidad,1,99,M,27,27,85,MA
F1R,Capacidad,1,99,M,28,28,90,MA
F1R,Capacidad,1,99,M,29,29,95,MA
F1R,Capacidad,1,99,M,30,30,97,MA
F1R,Capacidad,1,99,M,31,32,99,MA
F2AM,Apertura a la cultura,1,99,H,0,7,1,MB
F2AM,Apertura a la cultura,1,99,H,8,8,2,MB
F2AM,Apertura a la cultura,1,99,H,9,9,3,MB
F2AM,Apertura a la cultura,1,99,H,10,10,4,MB
F2AM,Apertura a la cultura,1,99,H,11,12,5,MB
