item_id,item_texto,codigo_faceta,tipo_puntuacion,nombre_faceta
00_IT1_F1E,"Normalmente, me gusta la mayoría de gente que conozco.",F1E,DIR,Capacidad de relación
00_IT2_F1E,No me gusta demasiado hablar con la gente.,F1E,INV,Capacidad de relación
00_IT3_F1E,Me conocen por ser una persona afectuosa y amable.,F1E,DIR,Capacidad de relación
00_IT4_F1E,Muchas personas piensan de mí que soy algo frío/a y distante.,F1E,INV,Capacidad de relación
00_IT5_F1E,Verdaderamente disfruto hablando con la gente.,F1E,DIR,Capacidad de relación
00_IT6_F1E,Me es fácil sonreír y ser sociable con personas extrañas.,F1E,DIR,Capacidad de relación
00_IT7_F1E,Tengo fuertes vínculos emocionales con mis amigos.,F1E,DIR,Capacidad de relación
00_IT8_F1E,Tengo un interés personal por las personas con las que trabajo.,F1E,DIR,Capacidad de relación
00_IT1_F2E,No me gustan los lugares donde hay mucha gente.,F2E,INV,Sociabilidad
00_IT2_F2E,Me gusta tener muchas personas a mi alrededor.,F2E,DIR,Sociabilidad
00_IT3_F2E,Normalmente prefiero hacer las cosas yo sólo/a.,F2E,INV,Sociabilidad
00_IT4_F2E,"No puedo estar solo/a mucho tiempo, realmente necesito a otras personas.",F2E,DIR,Sociabilidad
00_IT5_F2E,"Prefiero trabajos en solitario, sin que otros me molesten.",F2E,INV,Sociabilidad
00_IT6_F2E,Prefiero pasar las vacaciones en una playa frecuentada por mucha gente que en una cabaña aislada en el bosque.,F2E,DIR,Sociabilidad
00_IT7_F2E,Las reuniones sociales son generalmente aburridas.,F2E,INV,Sociabilidad
00_IT8_F2E,Disfruto de las fiestas donde hay muchas personas.,F2E,DIR,Sociabilidad
00_IT1_F3E,"Soy una persona dominante, enérgica y que defiende con rotundidad su postura.",F3E,DIR,Dominancia
00_IT2_F3E,Algunas veces no puedo sostener mi opinión o mi criterio.,F3E,INV,Dominancia
00_IT3_F3E,Con frecuencia he sido líder de los grupos a los que he pertenecido.,F3E,DIR,Dominancia
00_IT4_F3E,"En las reuniones, normalmente dejo que otros hablen.",F3E,INV,Dominancia
00_IT5_F3E,"Frecuentemente, los demás esperan que sea yo quien tome las decisiones.",F3E,DIR,Dominancia
00_IT6_F3E,Preferiría seguir mi camino que liderar a otras personas.,F3E,INV,Dominancia
00_IT7_F3E,Tiendo a monopolizar todas las conversaciones.,F3E,DIR,Dominancia
00_IT8_F3E,No me resulta sencillo llevar el control de una situación.,F3E,INV,Dominancia
00_IT1_F4E,Me comporto con tranquilidad tanto en el trabajo como en el ocio.,F4E,INV,Dinamismo
00_IT2_F4E,"Cuando hago algo, lo hago con ganas.",F4E,DIR,Dinamismo
00_IT3_F4E,Normalmente trabajo sin prisas pero sin pausas.,F4E,INV,Dinamismo
00_IT4_F4E,Frecuentemente me siento lleno de energía.,F4E,DIR,Dinamismo
00_IT5_F4E,No soy tan despierto/a y animado/a como otras personas.,F4E,INV,Dinamismo
00_IT6_F4E,Habitualmente parece que tengo prisa.,F4E,DIR,Dinamismo
00_IT7_F4E,Mi vida es muy agitada y con un gran número de actividades.,F4E,DIR,Dinamismo
00_IT8_F4E,Soy una persona muy activa y dinámica.,F4E,DIR,Dinamismo
00_IT1_F5E,A menudo busco situaciones excitantes.,F5E,DIR,Búsqueda de estimulación
00_IT2_F5E,No disfrutaría de unas vacaciones en Las Vegas.,F5E,INV,Búsqueda de estimulación
00_IT3_F5E,Algunas veces he hecho cosas solamente por el placer o la emoción que conllevaban.,F5E,DIR,Búsqueda de estimulación
00_IT4_F5E,Tiendo a evitar las películas de terror.,F5E,INV,Búsqueda de estimulación
00_IT5_F5E,Quiero estar donde se encuentre la acción.,F5E,DIR,Búsqueda de estimulación
00_IT6_F5E,Me encanta la emoción de la montaña rusa y de otras atracciones parecidas,F5E,DIR,Búsqueda de estimulación
00_IT7_F5E,Me atraen los colores llamativos y las intensidades estimulares intensas.,F5E,DIR,Búsqueda de estimulación
00_IT8_F5E,Me gusta sentirme parte del público en los actos deportivos emocionantes.,F5E,DIR,Búsqueda de estimulación
00_IT1_F6E,"Normalmente, nunca suelo tener expresiones de alegría desmesurada.",F6E,INV,Positividad 
00_IT2_F6E,Algunas veces he experimentado una intensa felicidad o éxtasis.,F6E,DIR,Positividad 
00_IT3_F6E,No soy una persona especialmente animada y optimista.,F6E,INV,Positividad 
00_IT4_F6E,Algunas veces me encuentro muy feliz.,F6E,DIR,Positividad 
00_IT5_F6E,No me considero una persona especialmente alegre.,F6E,INV,Positividad 
00_IT6_F6E,"Soy una persona alegre, animada y optimista.",F6E,DIR,Positividad 
00_IT7_F6E,Raramente uso expresiones como “¡fantástico!” o “¡sensacional!” para describir lo que siento.,F6E,INV,Positividad 
00_IT8_F6E,"Normalmente, soy una persona que se ríe con facilidad.",F6E,DIR,Positividad 
00_IT1_F1RE,Yo no soy una persona que se preocupe en exceso.,F1RE,INV,Preocupaciones/miedos
00_IT2_F1RE,Soy una persona que se asusta fácilmente.,F1RE,DIR,Preocupaciones/miedos
00_IT3_F1RE,Raramente me siento nervioso/a o con miedo.,F1RE,INV,Preocupaciones/miedos
00_IT4_F1RE,Con frecuencia me siento tenso/a y alterado/a.,F1RE,DIR,Preocupaciones/miedos
00_IT5_F1RE,Rara vez siento preocupación sobre el futuro.,F1RE,INV,Preocupaciones/miedos
00_IT6_F1RE,Frecuentemente me preocupa que las cosas me puedan ir mal.,F1RE,DIR,Preocupaciones/miedos
00_IT7_F1RE,Creo que soy una persona que tiene menos miedos que la mayoría de la gente.,F1RE,INV,Preocupaciones/miedos
00_IT8_F1RE,A veces tengo pensamientos de miedo.,F1RE,DIR,Preocupaciones/miedos
00_IT1_F2RE,Me enfado a menudo por la forma en que me tratan los demás.,F2RE,DIR,Irritabilidad
00_IT2_F2RE,Soy una persona apacible y tranquila.,F2RE,INV,Irritabilidad
00_IT3_F2RE,Me conocen como impetuoso/a y por enfadarme fácilmente.,F2RE,DIR,Irritabilidad
00_IT4_F2RE,No se me considera una persona puntillosa o temperamental.,F2RE,INV,Irritabilidad
00_IT5_F2RE,Frecuentemente acabo molesto/a con la gente con quien tengo que relacionarme.,F2RE,DIR,Irritabilidad
00_IT6_F2RE,Me cuesta mucho ponerme de mal humor y enfadarme.,F2RE,INV,Irritabilidad
00_IT7_F2RE,A veces me he sentido amargado/a y resentido/a.,F2RE,DIR,Irritabilidad
00_IT8_F2RE,Las pequeñas molestias pueden llegar a frustrarme.,F2RE,DIR,Irritabilidad
